,CN A,CN B,CN C,CN D,CN E,CN F,CN G,CN H,AC 1,AC 2,AC 3,AC 4,AC 5,AC 6,AC 7,AC 8
10:15,Lights Out,Lights Out,Lights Out,Lights Out,Lights Out,Lights Out,Lights Out,Lights Out,Lights Out,Lights Out,Lights Out,Lights Out,Lights Out,Lights Out,Lights Out,Lights Out
10:20,Lights Out,Lights Out,Lights Out,Lights Out,Lights Out,Lights Out,Lights Out,Lights Out,Lights Out,Lights Out,Lights Out,Lights Out,Lights Out,Lights Out,Lights Out,Lights Out
10:25,Lights Out,Lights Out,Lights Out,Lights Out,Lights Out,Lights Out,Lights Out,Lights Out,Lights Out,Lights Out,Lights Out,Lights Out,Lights Out,Lights Out,Lights Out,Lights Out
Wednesday,,,,,,,,,,,,,,,,
6:00,,,,,,,,,,,Exercise Coordinator,,,,Exercise Coordinator,
6:05,,,,,,,,,,,Exercise Coordinator,,,,Exercise Coordinator,
6:10,,,,,,,,,,,Exercise Coordinator,,,,Exercise Coordinator,
6:15,,,,,,,,,,,Exercise Coordinator,,,,Exercise Coordinator,
6:20,,,,,,,,,,,Exercise Coordinator,,,,Exercise Coordinator,
6:25,,,,,,,,,,,Exercise Coordinator,,,,Exercise Coordinator,
6:30,,,,,,,,,,,Exercise Coordinator,,,,Exercise Coordinator,
6:35,,,,,,,,,,,Exercise Coordinator,,,,Exercise Coordinator,
6:40,,,,,,,,,,,Exercise Coordinator,,,,Exercise Coordinator,
6:45,,,,,,,,,,,Exercise Coordinator,,,,Exercise Coordinator,
6:50,,,,,,,,,,,Exercise Coordinator,,,,Exercise Coordinator,
6:55,,,,,,,,,,,Exercise Coordinator,,,,Exercise Coordinator,
7:00,,,,,,,,,,,,,,,,
7:05,,,,,,,,,,,,,,,,
7:10,AC/CN Meeting,AC/CN Meeting,AC/CN Meeting,AC/CN Meeting,AC/CN Meeting,AC/CN Meeting,AC/CN Meeting,AC/CN Meeting,AC/CN Meeting,AC/CN Meeting,AC/CN Meeting,AC/CN Meeting,AC/CN Meeting,AC/CN Meeting,AC/CN Meeting,AC/CN Meeting
7:15,AC/CN Meeting,AC/CN Meeting,AC/CN Meeting,AC/CN Meeting,AC/CN Meeting,AC/CN Meeting,AC/CN Meeting,AC/CN Meeting,AC/CN Meeting,AC/CN Meeting,AC/CN Meeting,AC/CN Meeting,AC/CN Meeting,AC/CN Meeting,AC/CN Meeting,AC/CN Meeting
7:20,,,,,,,,,Time-off,,Time-off,Breakfast Support,Breakfast Coordinator,Breakfast Support,Time-off,Breakfast Support
7:25,,,,,,,,,Time-off,,Time-off,Breakfast Support,Breakfast Coordinator,Breakfast Support,Time-off,Breakfast Support
7:30,,,,,,,,,Time-off,Site-office,Time-off,Breakfast Support,Breakfast Coordinator,Breakfast Support,Time-off,Breakfast Support
7:35,,,,,,,,,Time-off,Site-office,Time-off,Breakfast Support,Breakfast Coordinator,Breakfast Support,Time-off,Breakfast Support
7:40,,,,,,,,,Time-off,Site-office,Time-off,Breakfast Support,Breakfast Coordinator,Breakfast Support,Time-off,Breakfast Support
7:45,,,,,,,,,Time-off,Site-office,Time-off,Breakfast Support,Breakfast Coordinator,Breakfast Support,Time-off,Breakfast Support
7:50,,,,,,,,,Time-off,Site-office,Time-off,Breakfast Support,Breakfast Coordinator,Breakfast Support,Time-off,Breakfast Support
7:55,,,,,,,,,Time-off,Site-office,Time-off,Breakfast Support,Breakfast Coordinator,Breakfast Support,Time-off,Breakfast Support
